Susceptible,Infected,Exposed,Time
0,0,0,0
3,2,0,0.9869833
5,3,0,1.984118
6,5,0,2.988965
6,9,0,3.984137
6,13,0,4.989235
7,16,1,5.997912
11,16,1,7.001894
13,17,1,7.991316
15,18,1,8.992104
14,20,2,9.991507
16,20,3,10.9876
18,20,3,11.98888
22,20,4,12.99945
25,20,4,13.99358
27,20,4,14.99521
28,20,6,15.99283
30,20,6,16.98853
33,20,6,17.99676
34,20,9,18.99355
37,20,9,19.9935
39,20,11,20.98576
43,20,12,21.99933
46,20,12,22.9898
50,20,12,23.99712
53,20,13,24.98517
56,20,13,26.00197
57,20,14,26.99668
57,20,17,27.98376
62,20,17,28.99695
62,20,19,29.98799
65,20,19,30.99335
66,20,22,31.98425
67,20,23,32.99458
67,19,25,33.99716
69,20,25,34.99139
71,20,26,35.98907
74,20,27,36.99661
77,20,27,38.00347
80,20,27,38.99437
84,20,27,39.98938
85,19,29,40.99044
85,19,30,41.9837
86,20,30,43.00347
85,19,31,43.99289
83,19,33,45.00292
84,20,33,45.98397
85,20,33,47.00041
86,20,33,47.985
87,20,33,48.99846
88,20,34,49.99343
86,20,37,51.00347
88,20,37,51.99535
86,20,38,52.99979
87,20,38,53.98576
85,20,40,54.99042
85,20,41,55.99049
85,20,43,56.98713
87,20,43,57.98714
86,20,45,59.00347
83,20,49,59.99754
81,20,51,61.00347
80,20,52,62.00066
78,20,53,62.99999
75,20,54,64.00229
73,19,56,64.99713
71,19,58,66.00347
71,19,58,66.98692
71,19,58,68.00347
70,19,58,69
70,19,58,69.98385
69,18,59,70.99681
69,18,59,71.98898
69,18,59,73.00143
68,17,60,73.98508
66,17,62,75.00347
64,17,63,75.9838
58,17,65,76.99143
58,17,65,77.99606
56,17,66,78.98443
54,16,67,79.99826
53,16,68,80.99164
53,16,68,81.99475
51,16,69,82.98705
51,16,69,83.9906
49,16,71,85.00315
45,16,73,85.99944
44,16,74,86.99031
43,16,74,88.00204
41,16,75,89.00347
36,16,77,89.99298
36,16,77,90.99845
31,16,77,92.00347
30,16,78,93.00347
29,16,78,93.99051
28,16,79,94.9866
28,16,79,95.99203
27,15,79,97.00347
27,14,79,97.98804
25,13,81,99.00347
23,12,81,99.98557
21,11,82,100.9956
20,9,83,102.0035
19,7,83,102.9917
18,7,83,103.992
18,7,83,104.9958
17,7,83,105.9898
15,7,83,106.9955
13,5,84,107.9915
13,5,84,108.9879
12,4,85,109.9909
11,3,85,110.9957
11,2,85,112.0035
10,2,85,112.9915
9,2,85,113.989
8,2,85,114.9872
7,2,85,116.0023
7,2,85,116.9937
6,2,85,117.9932
6,2,85,118.9892
5,2,85,119.9926
4,2,86,120.995
4,2,86,121.99
4,2,86,122.9899
3,2,86,123.9868
3,2,86,124.9883
3,1,86,125.9969
3,1,86,126.9879
3,1,86,127.9856
2,1,86,128.9905
2,1,86,129.9893
2,1,86,130.9884
2,1,86,131.9919
2,1,86,132.9864
2,1,86,133.9942
2,1,86,134.9921
2,1,86,135.9838
2,1,86,136.9894
2,1,86,137.9855
2,1,86,138.9884
2,1,86,139.9911
2,1,86,140.9917
1,1,86,141.9878
1,1,86,142.985
1,1,86,143.9932
1,1,86,144.9877
1,0,86,145.9923
1,0,86,146.9896
1,0,86,147.9916
1,0,86,148.9861
1,0,86,149.9909
