Susceptible,Infected,Exposed,Time
0,0,0,0
0,2,0,0.2840576
0,2,0,0.3010254
0,3,0,0.5997925
1,3,0,0.8078613
1,3,0,0.8818359
1,3,0,0.9505005
1,3,0,0.9998779
1,3,0,1.28717
1,3,0,1.303162
2,3,0,1.607178
2,4,0,1.816589
2,4,0,1.884949
2,4,0,1.949402
3,4,0,2.004883
3,4,0,2.289124
3,4,0,2.306091
3,5,0,2.605774
3,6,0,2.800964
3,6,0,2.881592
3,6,0,2.945129
3,6,0,3.011963
4,6,0,3.281555
4,6,0,3.30011
5,6,0,3.610046
6,6,0,3.798828
6,6,0,3.881836
6,6,0,3.954651
6,6,0,4.00769
6,7,0,4.283569
6,7,0,4.300537
7,8,0,4.611511
8,8,0,4.808228
8,8,0,4.888977
8,8,0,4.955688
8,8,0,5.008362
8,8,0,5.286926
8,8,0,5.30481
8,11,0,5.600037
8,11,0,5.804382
9,11,0,5.888245
9,11,0,5.944641
9,11,0,5.999817
9,11,0,6.290649
9,11,0,6.30957
9,13,0,6.601135
9,13,0,6.807922
9,13,0,6.881531
9,13,0,6.951172
9,13,0,7.006897
9,13,0,7.286621
9,13,0,7.30542
9,15,0,7.609558
9,15,0,7.811462
9,15,0,7.885315
9,15,0,7.943604
9,15,0,8.001892
9,16,0,8.295471
9,16,0,8.318481
9,17,0,8.607361
9,18,0,8.805908
9,20,0,8.892517
9,20,0,8.941956
9,20,0,9.006775
9,20,0,9.282104
9,20,0,9.302429
10,20,0,9.604187
11,22,0,9.812378
11,22,0,9.889099
11,22,0,9.948975
11,22,0,10.00739
12,22,0,10.28955
12,22,0,10.31
13,22,0,10.617
14,22,0,10.81537
14,22,0,10.89606
14,22,0,10.95679
14,22,0,11.01617
14,23,0,11.28918
14,23,0,11.30914
14,23,0,11.60913
14,24,0,11.81616
14,24,0,11.89789
14,24,0,11.94348
14,24,0,12.01849
14,25,0,12.28345
14,25,0,12.30219
15,25,0,12.61847
15,26,0,12.81281
15,26,0,12.89429
15,26,0,12.95612
15,26,0,13.00702
16,26,0,13.28815
16,26,0,13.31158
15,26,2,13.61847
16,26,2,13.81512
16,27,2,13.89038
16,27,2,13.94061
16,27,2,14.00574
16,27,2,14.29803
16,28,2,14.31848
16,29,2,14.60944
16,29,2,14.81818
16,29,2,14.88367
16,29,2,14.95081
16,29,2,15.01385
16,30,2,15.29224
16,30,2,15.31268
16,31,2,15.61847
16,31,2,15.8111
16,31,2,15.89471
16,31,2,15.9585
16,31,2,16.00604
17,32,2,16.29034
17,33,2,16.31427
17,35,2,16.61847
17,35,2,16.80316
17,36,2,16.89044
17,36,2,16.95538
17,36,2,17.00378
17,36,2,17.29285
18,36,2,17.31714
19,37,2,17.61084
19,37,2,17.81476
19,37,2,17.8985
19,37,2,17.94672
19,37,2,18.01636
20,37,2,18.29395
20,37,2,18.31512
20,37,3,18.61731
20,39,3,18.8078
20,39,3,18.8985
20,39,3,18.94977
20,39,3,19.01654
19,40,4,19.29852
19,40,4,19.29871
20,40,4,19.61536
20,40,4,19.80023
20,40,4,19.89612
20,40,4,19.93921
20,40,4,20.00983
21,40,4,20.28973
21,40,4,20.31262
23,40,4,20.61523
23,40,4,20.80975
23,40,4,20.89703
23,40,4,20.94446
23,40,4,21.01251
24,40,4,21.29303
24,40,4,21.31616
25,40,4,21.61066
25,40,4,21.80591
25,40,4,21.89661
25,40,4,21.94666
25,40,4,22.01263
26,40,4,22.2807
26,40,4,22.31244
27,40,4,22.60168
27,40,4,22.81848
28,40,4,22.89349
28,40,4,22.95349
29,40,4,23.00739
30,40,4,23.28711
30,40,4,23.31049
32,40,4,23.61359
32,40,4,23.80927
33,40,4,23.88641
33,40,4,23.95532
33,40,4,24.0061
33,40,4,24.27979
33,40,4,24.30682
34,40,5,24.6123
34,40,5,24.81488
34,40,5,24.88892
34,40,5,24.95801
34,40,5,25.00647
34,40,6,25.28986
34,40,6,25.31274
35,40,6,25.60645
36,40,6,25.81592
37,40,6,25.896
37,40,6,25.94739
37,40,6,25.99951
37,40,6,26.29681
37,40,6,26.31848
37,40,7,26.61847
39,40,7,26.81342
39,40,7,26.88971
39,40,7,26.94202
39,40,8,27.00177
38,40,9,27.29852
38,40,9,27.29889
40,40,9,27.61316
39,40,10,27.81561
39,40,10,27.89246
39,40,10,27.93964
39,40,10,28.01569
38,40,11,28.2951
39,40,11,28.31848
40,40,11,28.61847
40,40,11,28.81848
39,40,12,28.8985
41,40,12,28.9585
41,40,12,29.0127
41,40,12,29.2796
41,40,12,29.30768
42,40,12,29.61401
42,40,12,29.80676
44,40,12,29.8985
44,40,12,29.95325
44,40,12,30.00287
43,40,13,30.27899
42,40,14,30.30884
43,40,14,30.61847
44,39,14,30.80408
44,39,14,30.88843
44,39,14,30.9585
44,39,14,31.01849
46,39,14,31.29529
46,39,14,31.31848
46,39,14,31.6001
46,39,14,31.80933
46,39,14,31.8985
46,39,14,31.95221
46,39,14,32.01306
47,40,14,32.29852
47,40,14,32.30273
48,40,14,32.60504
49,40,14,32.80164
49,40,14,32.8985
51,40,14,32.9585
52,40,14,33.00037
53,40,14,33.29614
53,40,14,33.31848
53,40,15,33.61847
56,40,15,33.8053
56,40,15,33.8985
56,40,15,33.9585
56,40,15,34.01849
56,40,15,34.28076
56,40,15,34.31445
57,40,15,34.61847
58,40,15,34.80829
58,40,15,34.89722
58,40,15,34.95532
58,40,15,35.01001
60,40,15,35.29852
60,40,15,35.30255
61,40,15,35.60486
62,40,15,35.81848
62,40,15,35.87915
62,40,15,35.9585
62,40,15,36.01849
63,40,15,36.28931
63,40,15,36.31586
64,40,15,36.61847
64,40,15,36.80341
64,40,15,36.89093
65,40,15,36.94849
65,40,15,37.01849
65,40,15,37.29425
65,40,15,37.31848
67,40,15,37.60144
67,40,15,37.81226
66,40,16,37.89667
66,40,16,37.95386
67,40,16,38.01758
68,40,16,38.29852
68,40,16,38.29919
70,40,16,38.61847
69,40,17,38.81848
70,40,17,38.8985
70,40,17,38.9585
69,40,18,39.01849
69,40,19,39.27856
69,40,19,39.31128
69,40,20,39.61847
69,40,21,39.8114
69,40,21,39.88025
69,40,21,39.93909
70,40,21,40.00269
69,40,21,40.29651
69,40,21,40.31848
69,40,21,40.61377
70,40,21,40.81848
70,40,21,40.89166
70,40,21,40.94507
70,40,21,41.00427
71,40,21,41.28345
71,40,21,41.31445
70,40,22,41.59998
70,40,22,41.80316
71,40,22,41.8949
71,40,22,41.95587
71,40,22,42.01849
70,40,23,42.29852
70,40,23,42.29858
70,40,23,42.61847
71,40,23,42.81848
71,40,23,42.87854
71,40,23,42.9585
71,40,23,43.00616
71,40,23,43.29852
71,39,23,43.30481
71,39,23,43.60999
72,39,23,43.8139
72,39,23,43.8985
72,39,23,43.9585
72,39,23,44.00195
72,40,23,44.29852
72,40,23,44.30457
72,40,23,44.61847
71,40,24,44.80304
72,40,24,44.8985
72,40,24,44.94281
72,40,24,45.00604
71,40,25,45.29852
71,40,25,45.302
71,40,25,45.60303
71,40,25,45.80444
72,40,25,45.8985
71,40,26,45.9585
70,40,27,46.01849
69,40,28,46.29358
69,40,28,46.31848
68,40,29,46.61847
69,40,29,46.80261
69,40,29,46.8985
69,40,29,46.9585
69,40,29,47.01849
68,40,30,47.29852
68,40,30,47.30432
69,40,30,47.6001
69,40,30,47.80011
69,39,30,47.89545
69,39,30,47.95502
69,39,30,48.01624
69,39,31,48.27869
69,39,31,48.31128
69,39,31,48.61847
68,39,32,48.81848
68,39,32,48.88
68,39,32,48.93964
69,38,32,49.01849
69,38,32,49.28033
69,38,32,49.31464
69,38,32,49.61847
69,37,32,49.81848
69,37,32,49.88007
69,37,32,49.94043
68,36,33,50.01331
68,37,33,50.29852
68,37,33,50.30884
68,37,33,50.61847
68,36,33,50.81317
68,36,33,50.8985
68,36,33,50.94067
69,36,33,51.01849
69,36,33,51.29852
69,36,33,51.30585
68,36,34,51.61182
69,35,34,51.81848
69,35,34,51.89594
69,35,34,51.9585
69,35,34,52.01849
69,35,34,52.29852
69,35,34,52.30072
70,35,34,52.60742
70,35,34,52.81506
69,34,35,52.88495
69,34,35,52.9585
69,34,35,53.01849
69,34,35,53.29852
69,34,35,53.30139
69,34,36,53.60614
69,33,36,53.81848
69,33,36,53.8985
69,33,36,53.9585
69,33,36,54.01849
69,32,36,54.29852
69,32,36,54.31848
70,32,36,54.61847
70,32,36,54.81848
69,32,37,54.8985
69,33,37,54.9585
69,33,37,55.01849
68,33,38,55.28986
68,33,38,55.31848
69,32,38,55.61847
69,32,38,55.80853
69,32,38,55.8985
69,32,38,55.94421
69,32,38,56.01849
68,33,39,56.29022
68,33,39,56.31848
67,32,39,56.61401
67,32,39,56.81848
67,32,39,56.88153
66,33,40,56.9585
66,32,40,57.01849
66,31,40,57.28937
66,31,40,57.31848
66,31,40,57.61847
66,32,40,57.81848
66,32,40,57.89111
66,32,40,57.94122
66,32,40,58.01849
66,32,40,58.29852
66,32,40,58.31848
64,31,42,58.61847
64,32,42,58.81848
64,32,42,58.89124
64,32,42,58.9585
64,32,42,59.01849
64,33,42,59.27924
64,33,42,59.31848
64,32,42,59.61847
64,31,42,59.81848
64,30,42,59.88281
64,30,42,59.93872
64,31,42,60.01849
63,31,43,60.29852
63,31,43,60.30225
63,31,43,60.61682
63,31,43,60.81848
63,31,43,60.8985
63,32,43,60.9585
63,32,43,61.01563
63,30,43,61.29852
63,30,43,61.31158
63,30,43,61.59888
63,30,43,61.81848
63,30,43,61.8985
63,30,43,61.9585
63,30,43,62.0141
62,30,44,62.29852
62,30,44,62.31042
62,30,44,62.61847
62,30,44,62.81848
62,29,44,62.8985
62,29,44,62.9585
62,29,44,63.01001
61,29,44,63.29852
61,29,44,63.30792
61,28,44,63.61029
60,28,44,63.80554
60,28,44,63.88867
60,27,44,63.9585
60,27,44,64.01709
59,27,44,64.29852
59,27,44,64.30444
58,26,45,64.61847
58,26,45,64.81848
58,26,45,64.8985
58,26,45,64.94995
58,26,45,65.00079
58,26,45,65.2832
58,26,45,65.31848
57,26,45,65.61847
57,26,45,65.79883
56,26,45,65.88202
56,26,45,65.9585
56,26,45,66.01501
56,26,45,66.29852
56,26,45,66.31836
56,26,45,66.61798
56,26,45,66.81848
56,26,45,66.8985
56,26,45,66.94781
56,26,45,67.01849
56,26,45,67.29852
56,26,45,67.3103
54,26,45,67.59851
54,26,45,67.8175
54,26,45,67.89325
54,26,45,67.9585
54,26,45,68.00122
54,26,45,68.27991
54,26,45,68.31836
53,26,46,68.61847
53,26,46,68.79907
53,26,46,68.8985
53,26,46,68.9585
53,26,46,69.00543
53,26,46,69.29852
53,26,46,69.30865
53,26,46,69.61847
53,26,46,69.80994
53,26,46,69.88153
53,26,46,69.94434
53,26,46,70.01782
53,25,46,70.29462
53,25,46,70.31848
53,24,46,70.60248
53,24,46,70.81848
53,24,46,70.88855
53,24,46,70.9585
53,24,46,71.00336
51,24,46,71.28729
51,24,46,71.31848
51,24,46,71.61847
51,23,46,71.80151
51,23,46,71.8985
