Susceptible,Infected,Exposed,Time
0,0,0,0
0,0,0,0.01989746
0,2,0,0.06781006
0,2,0,0.1685181
0,2,0,0.3286133
2,3,0,0.9916992
2,3,0,1.007813
2,3,0,1.063721
2,3,0,1.173523
2,4,0,1.324646
2,7,0,1.988037
2,7,0,2.002808
2,7,0,2.072876
2,7,0,2.174316
2,7,0,2.333862
2,9,0,2.99469
2,9,0,3.011719
3,9,0,3.067383
3,10,0,3.175354
3,10,0,3.327637
3,11,0,3.989319
3,11,0,4.003845
3,12,0,4.075867
3,12,0,4.174805
3,13,0,4.339111
3,15,0,5.002319
3,15,0,5.008423
3,16,0,5.078918
3,17,0,5.182312
3,18,0,5.342346
3,19,0,5.998108
3,19,0,6.015076
4,19,0,6.075928
4,19,0,6.175354
4,20,0,6.329041
5,20,0,6.983765
5,20,0,7.016052
5,20,0,7.075256
5,21,0,7.169861
5,22,0,7.338074
7,23,0,7.984558
7,23,0,8.013794
7,23,0,8.070923
7,23,0,8.182312
7,23,0,8.32251
7,25,0,8.990479
7,25,0,9.007263
7,25,0,9.079651
7,25,0,9.164246
7,25,0,9.323547
7,27,0,9.988708
7,27,0,10.00928
7,27,0,10.07196
7,27,0,10.17157
7,28,0,10.32941
7,31,0,10.9848
7,31,0,11.01465
7,31,0,11.06506
8,31,0,11.16882
8,31,0,11.32666
10,31,0,11.98804
10,31,0,12.0047
10,31,0,12.06812
10,31,0,12.17169
11,31,0,12.32367
11,33,0,13.00232
11,33,0,13.0061
11,33,0,13.07233
12,33,0,13.16699
12,33,0,13.32599
13,35,0,13.99585
13,35,0,14.01697
13,35,0,14.07788
13,35,0,14.17755
13,35,0,14.33801
14,37,0,14.99316
14,37,0,15.02197
14,37,0,15.06329
14,37,0,15.17297
14,38,0,15.3233
14,39,0,15.99048
14,40,0,16.01416
14,41,0,16.07654
14,41,0,16.16559
14,41,0,16.33264
14,43,0,16.99036
14,43,0,17.00757
14,43,0,17.0741
14,43,0,17.18231
14,44,0,17.34198
14,47,0,17.99506
14,47,0,18.01813
14,47,0,18.06433
15,47,0,18.17194
15,47,0,18.33893
17,47,0,18.9884
17,47,0,19.00824
17,47,0,19.0791
17,48,0,19.17334
18,48,0,19.33319
19,50,0,19.99237
19,50,0,20.01288
19,50,0,20.07471
20,50,0,20.17212
20,50,0,20.3266
23,50,0,20.99103
23,50,0,21.01245
23,50,0,21.07806
23,50,0,21.17108
23,50,0,21.33496
25,50,1,22.00226
26,50,1,22.02234
26,50,1,22.07568
26,50,1,22.18231
26,50,1,22.33246
28,50,1,23
28,50,1,23.02216
28,50,1,23.06989
28,50,2,23.18231
28,50,2,23.34149
30,50,2,23.98907
30,50,2,24.00934
30,50,2,24.0816
30,50,2,24.17615
30,50,2,24.33044
31,50,3,25.00232
31,50,3,25.00244
