Area,Hit
null,1
null,1
null,1
BotMiddleBathroom Plane,1
null,1
null,1
CheckIn Plane,1
null,1
CheckIn Plane,1
null,1
null,1
null,1
BotMiddleBathroom Plane,1
null,1
null,1
Entry Agents Plane,1
null,1
CheckIn Plane,1
null,1
null,1
null,1
null,1
null,1
null,1
null,1
GatesDep Plane,1
BotMiddleBathroom Plane,1
null,1
null,1
CheckIn Plane,1
null,1
null,1
null,1
null,1
BotMiddleBathroom Plane,1
null,1
BotMiddleBathroom Plane,1
null,1
BotMiddleBathroom Plane,1
null,1
null,1
null,1
null,1
null,1
BotMiddleBathroom Plane,1
GatesDep Plane,1
Car Rental Plane,1
null,1
null,1
CheckIn Plane,1
Entry Agents Plane,1
null,1
null,1
null,1
CheckIn Plane,1
Car Rental Plane,1
CheckIn Plane,1
TopMiddleBathroom Plane,1
null,1
TopLeftBathroom Plane,1
null,1
CheckIn Plane,1
TopLeftBathroom Plane,1
null,1
BaggageClaim Plane,1
Shop Plane,1
CheckIn Plane,1
TopMiddleBathroom Plane,1
Entry Agents Plane,1
BaggageClaim Plane,1
GatesDep Plane,1
null,1
null,1
CheckIn Plane,1
Food Plane,1
Exit Agents Plane,1
GatesDep Plane,1
Shop Plane,1
TopMiddleBathroom Plane,1
null,1
Food Plane,1
Food Plane,1
null,1
null,1
GatesDep Plane,1
Exit Agents Plane,1
null,1
BaggageClaim Plane,1
GatesArr Plane,1
BaggageClaim Plane,1
BaggageClaim Plane,1
TopLeftBathroom Plane,1
null,1
BaggageClaim Plane,1
Food Plane,1
BaggageClaim Plane,1
Food Plane,1
null,1
GatesArr Plane,1
GatesArr Plane,1
GatesArr Plane,1
GatesArr Plane,1
GatesArr Plane,1
GatesArr Plane,1
GatesArr Plane,1
CheckIn Plane,1
Food Plane,1
CheckIn Plane,1
GatesArr Plane,1
GatesArr Plane,1
GatesArr Plane,1
null,1
null,1
